product name,brand,price,number of colors/scent,rating
'Concealer Broad Spectrum SPF 20','BareMinerals',$20.00,4,4.70
'Tinted Mineral Veil','BareMinerals',$24.00,0,4.60
'Super Shock Highlighter','ColourPop',$8.00,6,4.40
'Stay Matte Oil-Free Makeup','Clinique',$27.00,20,4.30
'Pro Longwear Nourishing Waterproof Foundation','MAC',$36.00,16,3.80
'Double Wear Light Soft Matte Hydra Makeup','Estée Lauder',$42.00,21,4.20
'Ultimate Coverage 24 Hour Foundation','BECCA',$44.00,24,4.00
'Bi-Facil Double-Action Eye Makeup Remover','Lancôme',$30.00 - $40.00,2,4.80
'All Nighter Waterproof Setting Powder','Urban Decay Cosmetics',$34.00,0,4.10
'Double Duty Beauty Shape Tape Setting Powder','Tarte',$34.00,2,4.10
'The Saharan Vol. II Blush Palette','Juvia's Place',$18.00,0,4.80
'Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30','Clinique',$39.00,4,4.30
'The Multiple','NARS',$39.00,4,4.40
'Matte Makeup Setting Spray','ULTA',$6.00 - $10.00,2,3.70
'Smooth Operator Amazonian Clay Tinted Pressed Setting Powder','Tarte',$34.00,4,4.40
'Invisible Glow Powder Highlighter','BareMinerals',$28.00,4,3.90
'Blended Face Powder &amp; Brush','Clinique',$27.00,3,4.30
'Hello Happy Soft Blur Foundation SPF 15','Benefit Cosmetics',$29.00,12,4.00
'Sun Dipped Glow Kit','Anastasia Beverly Hills',$40.00,0,4.80
'Hangover 3-In-1 Replenishing Primer &amp; Setting Spray','Too Faced',$32.00,0,4.40
'Soft Matte Complete Concealer','NARS',$30.00,16,4.40
'Deep Cleansing Oil','DHC',$28.00,0,4.90
'Prep Set Glow','ICONIC LONDON',$25.00,2,4.30
'Nudies Matte Blush &amp; Bronze','NUDESTIX',$32.00,6,4.50
'Blush','BareMinerals',$22.00,4,4.70
'No Poreblem Primer &amp; Priming Eraser Set','Touch In Sol',$26.00,0,4.10
'Color Correcting Face Primer','ULTA',$18.00,0,4.20
'Tinted Moisturizer SPF 30','ULTA',$14.00,6,3.60
'Dream Glow Kit','Anastasia Beverly Hills',$45.00,0,4.00
'Warmth All Over Face Color','BareMinerals',$22.00,0,4.70
'Fast Base Stick Foundation','Makeup Revolution',$9.00,18,3.80
'Double Duty Beauty Shape Tape Concealer &amp; Sponge Set','Tarte',$29.00,0,4.60
'Miracle Worker Foundation Broad Spectrum SPF 30','Philosophy',$40.00,8,4.30
'Matte Bronzer','ULTA',$10.00,2,4.40
'Photo Finish Primer Water','Smashbox',$32.00,0,4.60
'Double Wear Maximum Cover Camouflage Makeup for Face and Body SPF 15','Estée Lauder',$42.00,16,4.40
'Honey Dew Me Up Skin Serum &amp; Primer','NYX Professional Makeup',$17.00,0,4.20
'Take The Day Off Makeup Remover For Lids, Lashes &amp; Lips','Clinique',$19.50 - $26.00,2,4.70
'Contour In A Quickie Bronze &amp; Highlight Set','Benefit Cosmetics',$15.00,0,4.00
'Prep + Prime Fix+ Mini MAC','MAC',$14.00,0,4.50
'Hydra-Mist Set &amp; Refresh Powder','BECCA',$39.00,2,4.50
'Pores No More Pore Refiner Primer','Dr. Brandt',$45.00,0,4.40
'Gen Nude Powder Blush','BareMinerals',$24.00,12,4.70
'Firm Flesh Thickstick Foundation','Flesh',$18.00,40,3.70
'BAREPRO 16-HR Full Coverage Concealer','BareMinerals',$24.00,15,4.20
'Contour Cream Kit','Anastasia Beverly Hills',$40.00,2,4.20
'Tutti Frutti - Dew You Fresh Glow Translucent Setting Powder','Too Faced',$33.00,3,3.60
'Fit Me Matte + Poreless Powder','Maybelline',$7.99,23,4.30
'Shimmer &amp; Strobe Highlighting Palette','FLOWER Beauty',$13.99,0,4.90
'FaceStudio Master Chrome Metallic Highlighter','Maybelline',$9.99,4,4.50
'Contour Kit','ULTA',$18.00,0,4.00
'Boi-ing Industrial Strength Concealer','Benefit Cosmetics',$22.00,6,4.30
'Total Control Drop Foundation','NYX Professional Makeup',$14.00,28,3.90
'Double Duty Beauty Base Tape Hydrating Primer','Tarte',$30.00,0,4.20
'Hoola Matte Bronzing Powder Mini','Benefit Cosmetics',$16.00,0,4.60
'Touch Flesh Highlighting Balm','Flesh',$18.00,4,4.60
'Fit Me Concealer','Maybelline',$6.49,12,4.10
'Beyond Perfecting Powder Foundation + Concealer','Clinique',$29.00,14,4.40
'One Step Correct','Stila',$36.00,0,4.20
'Flower Pots Powder Blush','FLOWER Beauty',$9.99,4,4.70
'Photo Finish Pore Minimizing Primer','Smashbox',$39.00,0,4.10
